___ annotation is used to specify URI of the resource | @path
Which of the following is true? | the invert filter applies a negative image effect.
Which of the following is true? When TDC is bound to a table, the user must allocate enough table data elements to accomodate all of the | the tdc handles creating table cells for output.
Which of the following is/are optional in the creation of an XML file? | entities
Which of the following is/are optional in the creation of an XML file? | the <?xml version="1.0"?> statement
Which of the following JavaScript statements use arrays? | settimeout("a["+i+"]",1000)
Which of the following JSP variables are not available within a JSP expression. Select the one correct answer. | httpsession
Which of the following line of code are correct namespace declarations? | <title:catalog xmlns:book="http://www.fpt.edu.vn">
Which of the following lines can be used in an XML document named Test.xml to associate it with a stylesheet named Test.css | <?xml-stylesheet href="test.css" type="text/css"?>
Which of the following lines of code are correct? | b. @entity public class employees{... }
Which of the following lines of code, in the doPost() method of a servlet, uses the URL rewriting approach to maintaining sessions? (Choose one) | a. out.println("<a href=' "+response.encodeurl("/servlet/xservlet")+" '>click here</a>"));
Which of the following method can be used to add cookies to a servlet response? | httpservletresponse.addcookie(cookie cookie)
Which of the following methods creates a node for inserting textual content in to it? | createtextnode()
Which of the following methods does the JavaScript Boolean object not possess? | toint
Which of the following methods does the JavaScript Number object not possess? | c) valueof
Which of the following methods will be invoked if the doStartTag() method of a tag returns Tag.SKIP_BODY? | doendtag()
Which of the following methods would you use to convert a list of Unicode values into a string containing the corresponding characters? | fromcharcode
Which of the following methods would you use to search a character for a specific string? | d) indexof
Which of the following nodes in a DOM tree are always leaf nodes (nodes with no children)? | processing instruction notation cdata section
Which of the following options describing the feature of XML transformations? | xslt stylesheets use xpath to navigate between xml as sax and dom
Which of the following packages present in JAXP belong to SAX? | none of the others
Which of the following part of the XML data stored in an XML column is very important for locking? | granularity
Which of the following represents a correct syntax for usebean. Select the two correct answers | <jsp:usebean id="fruit type ="string"/> <jsp:usebean id="fruit type ="string" beanname="fruit"/>
Which of the following represents an abstraction of an unordered collection of nodes in DOM? | namednodemap
Which of the following represents the XML equivalent of this statement <%@ include file="a.jsp"%> . Select the one correct statement | c. <jsp:directive.include file="a.jsp"/>
Which of the following resources can be signed using an XML signature? | xml encoded data specific section of an xml file binary encoded data
which of the following SAX2 methods is used by a non validating parser to report that an entity reference is not resolved | skippedentity()
Which of the following schema fragments is the same as the DTD fragment below ? <!ELEMENT myElement EMPTY> | none of the above
Which of the following selections does not follow the rules of operator precedence. Assume that the operators on the left are evaluated first. | parentheses, subtraction, modulus
Which of the following selections is the proper way to apply this CSS rule: .blue { color: blue } | <p class = "blue">
Which of the following set of statements will you use to process all the child nodes of the root node? | <xsl:template match= "/"> <xsl:apply-templates/> </xsl:template>
Which of the following settings can be altered to change the darkness of the font | font-weight
Which of the following settings for a background image can be modified to create a "watermark" effect where scrolling will not move the image from its set position. | background-attachment
